450.0	1.0	-4370.0	30.0	30.0	30.0	
C6	C16	
Prexponent (Ncoef) not included
0.0	0.0	
0.0	0.0	
-0.0189457468226	9.7414299237e-11	
-0.0904528819244	1.00211560138e-08	
-0.00302277540848	6.97561609425e-14	
-0.00134345573724	3.10029040749e-14	
-0.0994212396309	1.58862954001e-08	
-0.00412038848932	2.51696666654e-13	
0.0	0.0	
-0.16207430705	9.0127429964e-08	
-0.00302277540848	6.97561609425e-14	
0.0	0.0	
-0.00577668818733	2.66857449278e-12	
-0.000335863934331	7.7507510655e-15	
0.0	0.0	
-0.00537382294895	1.24011613903e-13	
-0.0705993286761	3.09476777892e-09	
-0.00302277540848	6.97561609425e-14	
-0.000335863934331	7.7507510655e-15	
-0.00134345573724	3.10029040749e-14	
-0.115654515003	2.43148542426e-08	
-0.178046208526	6.96960425527e-08	
0.0	0.0	
0.0	0.0	
0.0	0.0	
-0.000335863934331	7.7507510655e-15	
-0.00134345573724	3.10029040749e-14	
-0.236371756814	1.77692010737e-07	
-0.0147367828301	1.56958360689e-11	
-0.314582210401	1.15551612171e-07	
-0.00370147083646	1.90409911423e-13	
-0.000335863934331	7.7507510655e-15	
-0.250334255425	2.54631397591e-07	
-0.00302277540848	6.97561609425e-14	
0.0	0.0	
-0.0705485140998	6.62726088578e-09	
0.0	0.0	
-0.307922889109	2.79014637753e-07	
0.0	0.0	
-0.00638430464191	3.72493547062e-12	
-0.0112819843696	4.7710795954e-12	
0.0	0.0	
-0.0301608467933	1.25564438532e-10	
-0.000335863934331	7.7507510655e-15	
-0.00134345573724	3.10029040749e-14	
-0.00134345573724	3.10029040749e-14	
-0.00302277540848	6.97561609425e-14	
-0.000335863934331	7.7507510655e-15	
-0.00302277540848	6.97561609425e-14	
0.0	0.0	
-0.00302277540848	6.97561609425e-14	
-0.0136223049972	1.89072768782e-11	
0.0	0.0	
-0.000335863934331	7.7507510655e-15	
-0.00317463204438	9.21552476615e-14	
-0.000335863934331	7.7507510655e-15	
-0.0884948306409	5.4141378502e-09	
-0.00134345573724	3.10029040749e-14	
-0.000335863934331	7.7507510655e-15	
-0.00134345573724	3.10029040749e-14	
-0.000335863934331	7.7507510655e-15	
-0.000335863934331	7.7507510655e-15	
0.0	0.0	
-0.0061191975219	2.33554933107e-13	
-0.000335863934331	7.7507510655e-15	
0.0	0.0	
-0.068053057128	5.54961423915e-09	
0.0	0.0	
-0.00134345573724	3.10029040749e-14	
0.0	0.0	
-0.000335863934331	7.7507510655e-15	
-0.00302277540848	6.97561609425e-14	
-0.000335863934331	7.7507510655e-15	
-0.103453260852	5.46094891988e-09	
-0.0136845100742	1.01336380406e-11	
0.0	0.0	
0.0	0.0	
-0.0190019879326	7.74023435143e-11	
